YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1940,1.2729403735738765,1.3037518936537187,0.6846799743556228,0.7751538276442886,0.5568271629014544,0,0,0,0,0
1950,3.018147086914995,1.9143347323323867,1.5362334533445223,1.4843799305774692,0.9080161046375391,0,0,0,0,0
1960,2.870142835201966,2.0801161659954897,1.360707096941757,1.697469544401694,1.5662006410433587,0,0,0,0,0
1970,5.931321540062435,2.7950310559006213,2.7670002042066573,2.651356993736952,2.0445832741729375,0,0,0,0,0
1980,3.857225100748417,3.9504997620180866,4.448121011581186,3.910249751435737,3.493150684931507,0,0,0,0,0
2000,12.142699112022791,13.913448435076926,13.007864047729049,10.90154071595975,7.833633834955346,0,0,0,0,0
2001,12.397531054395822,13.922187395514326,13.74447539346073,11.768118075259107,9.216735350607598,0,0,0,0,0
2005,12.652620905879584,15.263737068181765,13.90459656240663,12.282276566778826,9.752322328126814,0.18829177394318647,0.18868815478882814,0.09918314428127438,0.06131790910914593,0.07778822972190864
2010,13.34355730187794,15.309741145435197,14.74128491983851,13.127770853628691,10.796394538870805,0.16135135020412164,0.11460322839703382,0.07369831444334793,0.04586950191637224,0.06100408351847121
2011,13.490046227741908,15.674944879618835,15.033539411321078,13.355327862838948,10.923567023522322,0.17400440846154938,0.13100778608462066,0.09197890505417713,0.05193823415795994,0.07843967690685517
2015,14.280205304229224,17.591504292115882,17.00322686561873,14.983312116799388,12.24957812227924,0.1647866121317164,0.10768321007222861,0.07094206329191535,0.039056997692959755,0.06564772705378667
2016,14.97173829843465,17.671685238512584,17.37862002612523,15.347392471616006,12.625551990229802,0.15879094155311804,0.12010687633116605,0.08051988289021553,0.045483697143295275,0.06526876147575232
2019,17.382554738000906,20.269283833111025,19.514586127616028,17.625513849490375,14.848246023760254,0.1672550077469199,0.14183168586999775,0.09095705595556296,0.04444870075168842,0.06992547723254357
2022,20.411394471822643,22.902134905961816,22.752501101990624,20.43776254934731,17.170991459855152,0.15676142324362166,0.1390439287428653,0.0704841336679739,0.04643413668521528,0.06462068092916703
2023,20.99964637949904,23.41142399537326,22.94085278830444,20.888696622214184,17.75574528698405,0.16241939658110477,0.14660386810237494,0.0700353276283988,0.044573939677661,0.06767662172361635
