YEAR,Cuban,Mexican,Other Latino,Puerto Rican,Total,Central American,Dominican,South American,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,Total_se,Central American_se,Dominican_se,South American_se
1980,43.845618915159946,49.62565397799026,45.52757273122015,21.264660887302398,44.11478962708318,NA,NA,NA,0,0,0,0,0,0,0,0
2000,59.52740612861459,46.024921596545596,56.91693613581245,32.81119373432481,44.61611369303097,34.560813581563195,19.971498371335503,42.35873287671233,0,0,0,0,0,0,0,0
2015,52.42388587384872,47.85206900566699,55.113484895962436,36.06315577354972,45.290424888087536,37.1986393861665,24.133857612680313,46.8212476842239,0.3936390598906829,0.10702541472207641,0.3281020557893432,0.24795888046039227,0.08117020787462412,0.26010964990521784,0.32968867540802993,0.2948819776007137
2016,51.05177278171193,48.31871326383851,55.44052502419233,36.887765078961195,45.5972233767906,35.51873322659456,25.868618937341367,47.76791545867615,0.33717275413844544,0.10123777644589119,0.3391612429258895,0.2328276796846758,0.08997564612714848,0.2969732912352831,0.44550701906242757,0.3149662221159522
2019,53.60012836112263,51.22175900079715,55.30017842234051,40.23813352559235,48.106636236264144,38.6172179399699,27.432548227266548,49.119480964063605,0.35330923426559435,0.08559095080608806,0.3583050766539327,0.23681969373430584,0.07163593546028525,0.2684871776371975,0.3897611047579692,0.29369378173318533
2022,56.47240049129167,53.9597515251164,60.42363408321871,44.985672654381354,51.102280912122936,42.24068635114294,31.16856880560336,49.23927899452528,0.30506428704736516,0.10003709938239544,0.27436453498860736,0.2569559993342435,0.07491590828298096,0.25005612087722817,0.42355139294756944,0.25921883322202727
2023,55.94541745856633,54.51549718487529,59.43287226842148,44.80856387806336,51.008833134804554,39.55083314680225,33.281357777032454,48.661987447898284,0.348754684706528,0.08765233748108331,0.29065240839829576,0.20841742261740734,0.07249688103001406,0.25708501805573797,0.340876644907488,0.24463941290956293
