YEAR,Black,White,Black_se,White_se
1940,0.34873373540195335,1.426901255968893,0,0
1950,0.7829454988811375,2.6012224446411665,0,0
1960,1.065701742003257,3.236992930602589,0,0
1970,1.8666614269152928,4.906114441233151,0,0
1980,3.914651186129274,8.11156831699339,0,0
2000,14.76844949642356,27.46304221054047,0,0
2001,15.935139594997743,27.871236379563573,0,0
2005,17.329093422274003,29.977076589806828,0.06914823776429357,0.027642435959007096
2010,17.948249371006074,31.442491332372313,0.04930428211909906,0.023728709671940604
2011,18.66081288419127,31.845755048179097,0.0557257442493425,0.028251900402436376
2015,20.20270867944785,34.23376287892127,0.06326462773292763,0.02357972045638165
2016,20.8809476581324,35.008697527916695,0.06861639391023146,0.02150919675136878
2019,22.706334017071548,36.89601529877819,0.0535530841426021,0.023233274630590703
2022,25.35083292305926,39.5598273541135,0.06372817493265547,0.024598629687655072
2023,26.282095521352613,40.108220581526446,0.06525579521774347,0.027336863678498725
