YEAR,Midwest,Northeast,South,Total,West
1980,16010,10930,12960,13505,14880
2000,39800,32000,31200,32800,32700
2005,36700,35000,33000,35500,38100
2009,40000,39500,37000,40000,43000
2015,44500,42000,43000,44800,47100
2022,61800,60000,60000,63200,70000
