YEAR,Midwest,Northeast,South,Total,West
1940,2000,4000,450,600,500
1960,11250,16250,6250,8750,11250
1970,16250,22500,8750,13750,16250
1980,37500,47500,32500,47500,62500
2000,112500,162500,75000,112500,137500
2005,162500,350000,112500,187500,275000
2009,150000,300000,120000,160000,200000
2015,130000,265000,125000,170000,250000
2022,200000,374000,250000,300000,450000
