YEAR,Black,White,Black_se,White_se
1940,550,2500,NA,NA
1960,6250,11250,NA,NA
1970,11250,18750,NA,NA
1980,28750,47500,NA,NA
2000,85000,112500,NA,NA
2001,85000,112500,NA,NA
2005,112500,162500,0,0
2010,130000,180000,508.00553171512274,0
2011,120000,175000,674.5837910439595,0
2015,130000,190000,0,0
2016,140000,200000,0,0
2019,175000,230000,615.7222783452236,850.8186675568955
2022,250000,300000,111.80339887498948,0
2023,260000,320000,0,529.9570080485273
