YEAR,Midwest,Northeast,South,West,Midwest_se,Northeast_se,South_se,West_se
1980,27.515310586176728,39.82683982683983,37.733542867120654,22.85253394273424,0,0,0,0
2000,22.43704213630339,14.423500220114459,22.116577253259187,23.64155449978878,0,0,0,0
2015,29.763268452259876,19.410548791069267,26.333238163430142,33.48820962307369,0.35459748474410696,0.5936783022738992,0.1682242331843839,0.1547991115427521
2016,31.490253834023232,19.103893554644216,27.79694236968589,33.5624095762521,0.3476388165467773,0.5182578261941605,0.1971131456684092,0.13459099619009476
2019,37.43582916621598,29.204455293762447,31.670131903598083,39.5734196528335,0.4149243227554465,0.703836504681469,0.19127605159399613,0.18610945000833873
2022,37.183692480377616,28.021248948667473,35.64014348427597,40.42066667422276,0.41885863669981616,0.5411490876749275,0.21727176614909052,0.17410646394088125
2023,37.56412801856199,27.53152364273205,33.99046499325749,40.545303137250606,0.4008507611798839,0.5251751083172707,0.20944354967632844,0.15766060373962706
