YEAR,Black,White,Black_se,White_se
1910,22.960119204935886,48.52513063051945,0,0
1940,22.993829052955515,45.728325567896334,0,0
1960,38.18628189459929,64.87516188403363,0,0
1970,41.77510735219684,66.06936595495428,0,0
1980,45.350169446554986,68.98762571965736,0,0
2000,45.753404502988,72.64034407200667,0,0
2001,45.80007991209999,72.30314931813535,0,0
2005,45.9436661396898,73.7134773452766,0.0954642289017053,0.029828016414164618
2010,44.47754222041222,72.62391297040428,0.08543257087837952,0.0260518027857293
2011,43.82232550098765,72.0599022952517,0.0776724625844671,0.02967199289061065
2015,41.23947784352768,71.1011502869435,0.09166601397779037,0.026730929959023188
2016,41.04657889014647,71.27649986592499,0.08059957178891684,0.028555665190306407
2019,42.316828727396796,72.21134592221838,0.08330557332906514,0.02963152146939764
2022,44.28988669766866,73.07162568850848,0.08019567462188441,0.025186717179505505
2023,45.028947083215485,73.18070435343034,0.08020732828736256,0.030503893324310093
