YEAR,Black,White,Black_se,White_se
1910,24.8188322447337,28.293065706111953,0,0
1940,18.01711369801128,19.618488630924077,0,0
1950,11.568636653279007,16.841440553335875,0,0
1960,5.257744564400339,10.67798384116437,0,0
1970,3.573291354114311,8.664725475086637,0,0
1980,2.8441959871376628,9.067542468254878,0,0
2000,4.589535321799148,10.792692792360212,0,0
2001,4.590310564908611,11.028646034631915,0,0
2005,5.130371652757608,11.66817969752865,0.03550760301718864,0.019407403275156894
2010,4.993881815209051,10.83649338733255,0.030318803671985438,0.014310558372888508
2011,5.0229557734734325,10.718223386231843,0.03457883356521783,0.01660749547152594
2015,4.955321324399155,10.76037430412983,0.032620939272436096,0.017004501332030825
2016,5.056906927778461,10.860706275182325,0.0382354095086508,0.01762961448584371
2019,5.230813710560901,10.598548611294435,0.03606133834933544,0.01680900289251662
2022,6.508279537853744,11.059135585139025,0.043843149371557234,0.020193439170161896
2023,6.3942897257239135,10.977148665443208,0.03945873500716852,0.01975546276396288
