YEAR,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican
1940,3700,2500,400,2500,2700,4000,600,NA
1960,16250,13750,8750,13750,13750,16250,8750,11250
1980,NA,57500,42499,52500,42499,NA,47500,NA
2000,137500,137500,85000,95000,112500,137500,95000,137500
2005,225000,275000,137500,162500,225000,275000,187500,350000
2010,190000,200000,130000,180000,185000,250000,150000,220000
2015,200000,225000,150000,200000,190000,260000,170000,215000
2022,350000,375000,280000,320000,310000,400000,300000,350000
