YEAR,Cuban,Mexican,Other Latino,Puerto Rican,Total,Central American,Dominican,South American,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,Total_se,Central American_se,Dominican_se,South American_se
1980,8.847736625514404,2.3844008153631586,6.415542228885557,2.811749914275917,3.910249751435737,NA,NA,NA,0,0,0,0,0,0,0,0
2000,22.006270553875336,7.2628523897688835,15.136716758168594,13.697904091732058,10.90154071595975,9.512497245331383,16.815907266268546,26.925427306901724,0,0,0,0,0,0,0,0
2015,26.62518843103658,10.896441479566203,23.468455411797652,18.805296532112852,14.983312116799388,11.991399202649248,17.00855487075706,33.44126906178796,0.2976618729595209,0.04611793548690669,0.20485644796347552,0.16683216182866692,0.039056997692959755,0.1318229172331707,0.2629627729741436,0.25627721727100733
2016,26.973473608259994,11.38048241144897,22.958259478430634,18.367177187035097,15.347392471616006,12.032514363629122,18.24613887532459,34.26302223242777,0.27352297767213335,0.05373089178995709,0.2186605088167028,0.1449618203349038,0.045483697143295275,0.12238892620526745,0.2953090472963027,0.23926171118209785
2019,29.504912148731776,13.469668461510958,23.87233081113912,20.471599566691594,17.625513849490375,13.80306869236243,19.655407097367238,38.283779715509404,0.2882369523981801,0.04775881099555547,0.21914369792369628,0.14234964150778856,0.04444870075168842,0.13895293661256253,0.28257258669576124,0.2341513504945419
2022,31.46905185088157,15.837365698409924,27.484181970531395,24.023872422234824,20.43776254934731,16.20453548574329,22.676889803397366,39.51529271558068,0.2412698581967439,0.06122719215077419,0.20211147426438134,0.16639145155660082,0.04643413668521528,0.12284972899551891,0.2649832541281494,0.21865926994721321
2023,32.93170421715953,16.32535889944991,27.925229160627357,24.31376577226857,20.888696622214184,16.179306248919893,23.58363192249384,38.89365440309726,0.2414457710528429,0.045118504202345304,0.2017819939798903,0.15766002966448697,0.044573939677661,0.13599043960195858,0.32032323522174627,0.2269408655526073
